h,N,ddo_2_am,ddo_4_am,ddo_2_hm,ddo_4_hm,ddo_2_gm,ddo_4_gm,ddo_2_hi,ddo_4_hi,ddo_2_te,ddo_4_te,ddo_2_st,ddo_4_st,mls_2_2,mls_4_2,mls_4_4
0.2,152,0.03794132840090048,0.0006951133611872502,0.04553284347538913,0.0010753584711404162,0.04173942604900715,0.0008649017922023979,0.037830165365052695,0.0006658640072182316,0.03777068096805761,0.0007157022321046845,0.03813559853818433,0.0007903462246043816,0.037950886663323725,0.0007847970775243549,0.0007526149767350423
0.1,517,0.01041181351863214,6.686822048041767e-5,0.012512099588802814,0.00010452303923679037,0.011457183908922834,8.177225456047078e-5,0.010413824301076156,6.712766983568172e-5,0.010418943765400224,0.00011388257558270432,0.010452899780747696,0.0001519003369739079,0.010558862882100062,0.00011142176016327574,6.88240294993892e-5
0.05,1973,0.002552628084103173,4.233486130012403e-6,0.0030689561469024805,6.127670029354865e-6,0.0028062834575058723,5.070243729600373e-6,0.0025512523930614948,4.136798057366211e-6,0.0025523203267240756,3.148865780950794e-5,0.0025656206542872843,3.3791957409955456e-5,0.00258257840627623,3.101945399811199e-5,4.025367807872932e-6
0.025,7590,0.0006393190718044946,2.6069668705681987e-7,0.0007691729982884309,3.920341747412017e-7,0.0007031912446845863,3.1349404078487044e-7,0.0006391005958404851,3.689428636502861e-7,0.0006399338813933806,8.180899196551306e-6,0.0006414484678911067,8.351557204591978e-6,0.00064713666331723,8.162174185427064e-6,2.5548821500444656e-7
0.0125,29982,0.00016188561466597454,1.6848927756827106e-8,0.00019452390423942034,2.496198999891803e-8,0.00017803574552151304,2.0317002936068706e-8,0.00016194151807781632,4.973727117112312e-8,0.00016209866464413696,2.0823683291360783e-6,0.0001624168012040291,2.0904301747616045e-6,0.00016298942940069097,2.080849953416294e-6,1.590530284303776e-8
0.00625,118840,4.042700322439806e-5,1.0441881046703322e-9,4.852953599134143e-5,1.5228917671454799e-9,4.442495694494599e-5,1.2472480970556132e-9,4.040453406802792e-5,6.957589738147104e-9,4.04263823439909e-5,5.214531034057079e-7,4.057201064536074e-5,5.219882840583778e-7,4.074572666928407e-5,5.213777793617965e-7,9.796221325262102e-10
