h,N,ddo_2_am,ddo_4_am,ddo_2_hm,ddo_4_hm,mls_2_2,mls_4_2,mls_4_4
0.2,152,0.04390862440453085,0.0017741930039067877,0.05314443491969921,0.00176686752307737,0.044759515161942,0.0016372681243201003,0.0017154881666595044
0.1,517,0.012308776977760408,3.2831543680790375e-5,0.014853842080803314,6.447505632755801e-5,0.01256247376523411,0.0001466566110689206,2.7738168538932537e-5
0.05,1973,0.003015658738034047,1.9876085997531684e-6,0.00365275953032566,3.4690885323986873e-6,0.0030852204818516667,3.7734279061863815e-5,1.240126899661905e-6
0.025,7590,0.0007555564781555899,1.2334980751364098e-7,0.0009158348700183216,2.2800768309098307e-7,0.0007752470664139149,9.334561079328868e-6,7.466838893432132e-8
